output-gpt-3.5-turbo-1106-0.txt	mismatch	target: WASH-C	output: ['WASH complex (WASH-C)', 'retromer', 'ARP2/3 complex']
output-gpt-3.5-turbo-1106-1.txt	match	target: alpha3-beta1 integrin	output: alpha3-beta1 integrin
output-gpt-3.5-turbo-1106-10.txt	match	target: TAP	output: TAP complex
output-gpt-3.5-turbo-1106-100.txt	match	target: Nup82	output: Nup82 protein complex
output-gpt-3.5-turbo-1106-101.txt	match	target: calcineurin	output: Calcineurin protein complex
output-gpt-3.5-turbo-1106-102.txt	mismatch	target: LUBAC	output: Linear ubiquitin chain assembly complex (LUBAC)
output-gpt-3.5-turbo-1106-103.txt	mismatch	target: OEC (PSII)	output: Oxygen Evolving Complex (PSII)
output-gpt-3.5-turbo-1106-104.txt	match	target: IL-7 receptor	output: IL-7 receptor
output-gpt-3.5-turbo-1106-105.txt	mismatch	target: HUalpha	output: ['HUalpha', 'PcrV']
output-gpt-3.5-turbo-1106-106.txt	mismatch	target: 5HT-3A receptor	output: Cys-loop superfamily
output-gpt-3.5-turbo-1106-107.txt	match	target: B9	output: B9 protein complex
output-gpt-3.5-turbo-1106-108.txt	match	target: PGH	output: PGH protein complex
output-gpt-3.5-turbo-1106-109.txt	match	target: 5HT3A-R	output: 5HT3A-R protein complex
output-gpt-3.5-turbo-1106-11.txt	mismatch	target: membrane-bound IgA	output: 1. Membrane-bound IgA
output-gpt-3.5-turbo-1106-110.txt	mismatch	target: TriC	output: Chaperonin-containing T-complex protein-1 (TriC)
output-gpt-3.5-turbo-1106-111.txt	match	target: extracellular ferritin	output: Extracellular ferritin
output-gpt-3.5-turbo-1106-112.txt	match	target: MKS	output: MKS protein complex
output-gpt-3.5-turbo-1106-113.txt	mismatch	target: energy coupling factor (ECF)-type ABC transporter	output: ECF-type ABC transporter
output-gpt-3.5-turbo-1106-114.txt	match	target: CDL2	output: CDL2 protein complex
output-gpt-3.5-turbo-1106-115.txt	match	target: serpin	output: serpin protein complex
output-gpt-3.5-turbo-1106-116.txt	match	target: UvrABC excinuclease	output: UvrABC excinuclease
output-gpt-3.5-turbo-1106-117.txt	mismatch	target: R2TP	output: ['R2TP protein complex', 'HSP90']
output-gpt-3.5-turbo-1106-118.txt	match	target: IML1	output: IML1 protein complex
output-gpt-3.5-turbo-1106-119.txt	match	target: alpha-beta TCR	output: alpha-beta TCR protein complex
output-gpt-3.5-turbo-1106-12.txt	match	target: replisome	output: replisome
output-gpt-3.5-turbo-1106-120.txt	match	target: eNoSc	output: eNoSc protein complex
output-gpt-3.5-turbo-1106-121.txt	match	target: NACA	output: NACA protein complex
output-gpt-3.5-turbo-1106-122.txt	match	target: PeBoW	output: PeBoW protein complex
output-gpt-3.5-turbo-1106-123.txt	match	target: Swm1/2	output: Swm1/2 complex
output-gpt-3.5-turbo-1106-124.txt	match	target: alpha-glucosidase II	output: alpha-glucosidase II
output-gpt-3.5-turbo-1106-125.txt	mismatch	target: MAT	output: ['MAT protein complex', 'adenosylmethionine synthetase', 'cystathionine beta-synthase']
output-gpt-3.5-turbo-1106-126.txt	match	target: RDRC	output: RDRC protein complex
output-gpt-3.5-turbo-1106-127.txt	match	target: FACT	output: FACT
output-gpt-3.5-turbo-1106-128.txt	mismatch	target: AHAS	output: Acetohydroxy acid synthase (AHAS) protein complex
output-gpt-3.5-turbo-1106-129.txt	match	target: HAUS	output: HAUS protein complex
output-gpt-3.5-turbo-1106-13.txt	match	target: MRN	output: MRN protein complex
output-gpt-3.5-turbo-1106-130.txt	mismatch	target: ADPG pyrophosphorylase	output: ADPG pyrophosphorylase (ADPG-P) protein complex
output-gpt-3.5-turbo-1106-131.txt	match	target: CAF-1	output: CAF-1
output-gpt-3.5-turbo-1106-132.txt	match	target: CHEVI tethering	output: CHEVI tethering protein complex
output-gpt-3.5-turbo-1106-133.txt	match	target: eIF2	output: eIF2 protein complex
output-gpt-3.5-turbo-1106-134.txt	mismatch	target: laminin-421	output: ['laminin-421', 'integrins']
output-gpt-3.5-turbo-1106-135.txt	match	target: ABI	output: ABI protein complex
output-gpt-3.5-turbo-1106-136.txt	match	target: collagen type IV trimer	output: collagen type IV trimer
output-gpt-3.5-turbo-1106-137.txt	match	target: channel-forming toxin	output: channel-forming toxin
output-gpt-3.5-turbo-1106-138.txt	match	target: fibrinogen gamma chain	output: fibrinogen gamma chain
output-gpt-3.5-turbo-1106-139.txt	match	target: 90S preribosome	output: 90S preribosome
output-gpt-3.5-turbo-1106-14.txt	match	target: CRL5	output: CRL5 protein complex
output-gpt-3.5-turbo-1106-140.txt	match	target: centralspindlin	output: centralspindlin
output-gpt-3.5-turbo-1106-141.txt	match	target: gamma-delta T cell receptor	output: gamma-delta T cell receptor
output-gpt-3.5-turbo-1106-142.txt	match	target: GimC	output: GimC protein complex
output-gpt-3.5-turbo-1106-143.txt	mismatch	target: T cell receptor	output: ['- T cell receptor (TCR)', '- major histocompatibility complex (MHC)']
output-gpt-3.5-turbo-1106-144.txt	match	target: GABA transaminase	output: GABA transaminase protein complex
output-gpt-3.5-turbo-1106-145.txt	mismatch	target: ESCRT3	output: Endosomal sorting complex required for transport 3 (ESCRT3) complex
output-gpt-3.5-turbo-1106-146.txt	match	target: editosome	output: Editosome
output-gpt-3.5-turbo-1106-147.txt	match	target: TGF-betal	output: TGF-betal protein complex
output-gpt-3.5-turbo-1106-148.txt	match	target: NatC	output: NatC complex
output-gpt-3.5-turbo-1106-149.txt	match	target: Ferric coprogen receptor	output: Ferric coprogen receptor
output-gpt-3.5-turbo-1106-15.txt	match	target: MPCFERM	output: MPCFERM
output-gpt-3.5-turbo-1106-150.txt	match	target: surface IgG2b	output: surface IgG2b
output-gpt-3.5-turbo-1106-151.txt	match	target: GPI-MT-I	output: GPI-MT-I protein complex
output-gpt-3.5-turbo-1106-152.txt	match	target: respiratory chain complex IV	output: respiratory chain complex IV
output-gpt-3.5-turbo-1106-153.txt	mismatch	target: Serine/threonine-protein phosphatase 2A	output: Serine/threonine-protein phosphatase 2A (PP2A) complex
output-gpt-3.5-turbo-1106-154.txt	mismatch	target: Brahma-associated factor	output: Brahma-associated factor (BAF) protein complex
output-gpt-3.5-turbo-1106-155.txt	match	target: phycobilisome	output: phycobilisome
output-gpt-3.5-turbo-1106-156.txt	match	target: MTB	output: MTB complex
output-gpt-3.5-turbo-1106-157.txt	mismatch	target: surface IgD	output: B cell receptor complex
output-gpt-3.5-turbo-1106-158.txt	match	target: mglABC	output: mglABC protein complex
output-gpt-3.5-turbo-1106-159.txt	match	target: VLA-3	output: VLA-3 protein complex
output-gpt-3.5-turbo-1106-16.txt	match	target: dynein	output: dynein protein complex
output-gpt-3.5-turbo-1106-160.txt	match	target: inhibin beta-B	output: inhibin beta-B
output-gpt-3.5-turbo-1106-161.txt	mismatch	target: T3SS	output: Type III secretion system (T3SS)
output-gpt-3.5-turbo-1106-162.txt	match	target: PDHE1	output: PDHE1 protein complex
output-gpt-3.5-turbo-1106-163.txt	match	target: Swm	output: Swm
output-gpt-3.5-turbo-1106-164.txt	mismatch	target: 5-hydroxytryptamine receptor 3	output: 5-hydroxytryptamine receptor 3 (5-HT3 receptor)
output-gpt-3.5-turbo-1106-165.txt	mismatch	target: polycystin	output: ['- mTOR pathway', '- polycystin']
output-gpt-3.5-turbo-1106-166.txt	match	target: LPS receptor	output: LPS receptor
output-gpt-3.5-turbo-1106-167.txt	match	target: axonemal dynein light chain	output: axonemal dynein light chain
output-gpt-3.5-turbo-1106-168.txt	match	target: AHRC	output: AHRC protein complex
output-gpt-3.5-turbo-1106-169.txt	mismatch	target: SAT-OASS	output: Sulfur aminotransferase-O-acetylserine(thiol)lyase (SAT-OASS) complex
output-gpt-3.5-turbo-1106-17.txt	match	target: UTP-A	output: UTP-A complex
output-gpt-3.5-turbo-1106-170.txt	match	target: RDC	output: RDC protein complex
output-gpt-3.5-turbo-1106-171.txt	match	target: HslUV protease	output: HslUV protease
